DESCRIPCION_CONDUCTA_Homi1922,MUNICIPIO_Homi1922_HECHO,AÑO_Homi1922,ZONA_Homi1922,COLOMBIAPO_IDENCOLOMBIAFICACION_Homi1922,EDAD__Homi1922,DEL_01/01/2019_AL_31/12/2022_Homi1922,IdHomicidio2019_2022
ARTÍCULO 103. HOMICIDIO,JAMBALÓ,2019,RURAL,COLOMBIA,41,1,88
ARTÍCULO 103. HOMICIDIO,JAMBALÓ,2019,URBANA,COLOMBIA,22,1,89
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,URBANA,COLOMBIA,29,1,90
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,29,1,91
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,37,1,92
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,25,1,93
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,54,1,94
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,27,1,95
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,39,1,96
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,27,1,97
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,49,1,98
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,22,1,99
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,26,1,100
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,43,1,101
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,24,1,102
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,33,1,103
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,60,1,104
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,15,1,105
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,35,1,106
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,36,1,107
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,22,1,108
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,27,1,109
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,20,1,110
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,29,1,111
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,30,1,112
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,24,1,113
ARTÍCULO 103. HOMICIDIO,BUENOS AIRES,2019,RURAL,COLOMBIA,23,1,114
ARTÍCULO 103. HOMICIDIO,CALDONO,2019,RURAL,COLOMBIA,24,1,115
ARTÍCULO 103. HOMICIDIO,CALDONO,2019,RURAL,COLOMBIA,27,1,116
ARTÍCULO 103. HOMICIDIO,CALDONO,2019,RURAL,COLOMBIA,56,1,117
ARTÍCULO 103. HOMICIDIO,CALDONO,2019,RURAL,COLOMBIA,38,1,118
ARTÍCULO 103. HOMICIDIO,CALDONO,2019,RURAL,COLOMBIA,24,1,119
ARTÍCULO 103. HOMICIDIO,CALDONO,2019,RURAL,COLOMBIA,48,1,120
ARTÍCULO 103. HOMICIDIO,CALDONO,2019,RURAL,COLOMBIA,24,1,121
ARTÍCULO 103. HOMICIDIO,CALDONO,2019,RURAL,COLOMBIA,27,1,122
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,27,1,123
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,63,1,124
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,31,1,125
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,23,1,126
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,29,1,127
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,40,1,128
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,41,1,129
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,43,1,130
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,29,1,131
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,44,1,132
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,50,1,133
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,30,1,134
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,25,1,135
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,29,1,136
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,17,1,137
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,23,1,138
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,31,1,139
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,49,1,140
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,29,1,141
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,22,1,142
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,25,1,143
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,38,1,144
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,54,1,145
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,37,1,146
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,19,1,147
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,21,1,148
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,36,1,149
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,37,1,150
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,29,1,151
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,28,1,152
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,29,1,153
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,33,1,154
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,18,1,155
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,33,1,156
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,ECUADOR,44,1,157
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,23,1,158
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,36,1,159
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,34,1,160
ARTÍCULO 103. HOMICIDIO,CALOTO,2019,RURAL,COLOMBIA,39,1,161
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,26,1,162
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,66,1,163
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,31,1,164
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,24,1,165
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,31,1,166
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,27,1,167
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,34,1,168
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,44,1,169
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,25,1,170
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,30,1,171
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,19,1,172
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,39,1,173
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,19,1,174
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,17,1,175
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,31,1,176
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,14,1,177
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,24,1,178
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,24,1,179
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,18,1,180
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,42,1,181
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,25,1,182
ARTÍCULO 103. HOMICIDIO,SANTANDER DE QUILICHAO,2019,URBANA,COLOMBIA,58,1,183
