"proto","srcip","sport","dstip","dsport","spkts","dpkts","sbytes","dbytes","state","stime","ltime","dur","attack_cat"
"udp","175.45.176.3","21223","149.171.126.18","32780","2","0","728","0","INT","1421927415","1421927415","2.1e-05","exploits"
"tcp","175.45.176.2","23357","149.171.126.16","80","12","24","918","25552","FIN","1421927416","1421927416","0.240139","exploits"
"tcp","175.45.176.2","13792","149.171.126.16","5555","14","6","8168","268","FIN","1421927417","1421927417","0.17519","exploits"
"tcp","175.45.176.2","26939","149.171.126.10","80","10","6","844","268","FIN","1421927418","1421927418","0.1906","exploits"
"tcp","175.45.176.0","39500","149.171.126.15","80","10","6","1214","268","FIN","1421927419","1421927419","0.177449","dos"
"tcp","175.45.176.0","29309","149.171.126.14","3000","10","6","844","268","FIN","1421927420","1421927420","0.19491","generic"
"tcp","175.45.176.0","61089","149.171.126.18","80","10","8","804","948","FIN","1421927421","1421927421","0.291485","exploits"
"tcp","175.45.176.0","23910","149.171.126.15","80","14","6","2082","268","FIN","1421927419","1421927422","259,291","dos"
"tcp","175.45.176.3","44762","149.171.126.12","80","10","10","828","4004","FIN","1421927422","1421927422","0.232939","exploits"
"tcp","175.45.176.0","4159","149.171.126.18","80","10","10","838","986","FIN","1421927421","1421927422","0.432056","exploits"
"tcp","175.45.176.2","43850","149.171.126.13","80","10","14","876","9446","FIN","1421927423","1421927423","0.244832","exploits"
"tcp","175.45.176.1","4765","149.171.126.13","80","10","8","744","1306","FIN","1421927425","1421927425","0.249003","exploits"
"tcp","175.45.176.1","52726","149.171.126.13","80","10","10","776","1284","FIN","1421927425","1421927426","0.513537","exploits"
"tcp","175.45.176.0","9590","149.171.126.10","6661","10","6","980","268","FIN","1421927427","1421927427","0.214735","exploits"
"tcp","175.45.176.0","36918","149.171.126.17","80","26","114","1506","141751","FIN","1421927427","1421927428","0.911799","exploits"
"tcp","175.45.176.2","63163","149.171.126.11","8080","12","8","1314","1172","FIN","1421927429","1421927429","0.290395","exploits"
