"Mes_Año de Año"," Departamento"," MunicipioAS","Año"," Regimen"," Afiliados"," Departamental"," Municipal"," Nacional"," Personas"," Poblacion_DANE"," IdAfiliaciónSalud"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Subsidiado","21315","0.862884348","1","0.977813594","21315","0","143"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Sisben II","0","0.862884348","1","0.977813594","0","0","591"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Sisben I","0","0.862884348","1","0.977813594","0","0","592"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","PPNA","0","0.862884348","1","0.977813594","0","0","593"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Excepción","881","0.862884348","1","0.977813594","881","0","594"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Contributivo","28789","0.862884348","1","0.977813594","28789","0","595"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Subsidiado","21195","0.875302817","1","0.990307386","21195","0","598"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Sisben II","0","0.875302817","1","0.990307386","57","0","599"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Sisben I","0","0.875302817","1","0.990307386","507","0","600"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","PPNA","0","0.875302817","1","0.990307386","9017","0","601"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Excepción","945","0.875302817","1","0.990307386","945","0","602"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Poblacion","0","0.862884348","1","0.977813594","41959.16965","41959","603"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Contributivo","30254","0.875302817","1","0.990307386","30254","0","604"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Poblacion","0","0.875302817","1","0.990307386","42293.66633","42294","605"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Poblacion","0","0.885333746","1","0.991153092","42630.16699","42630","606"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Subsidiado","23617","0.885333746","1","0.991153092","23617","0","607"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Sisben II","0","0.885333746","1","0.991153092","204","0","608"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Sisben I","0","0.885333746","1","0.991153092","0","0","609"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","PPNA","0","0.885333746","1","0.991153092","7665","0","610"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","NOPPNA","0","0.885333746","1","0.991153092","3","0","611"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Excepción","950","0.885333746","1","0.991153092","950","0","618"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Contributivo","28650","0.885333746","1","0.991153092","28650","0","833"
