"Mes_Año de Año"," Departamento"," MunicipioAS","Año"," Regimen"," Afiliados"," Departamental"," Municipal"," Nacional"," Personas"," Poblacion_DANE"," IdAfiliaciónSalud"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Subsidiado","67289","0.862884348","0.943707531","0.977813594","67289","0","700"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Sisben II","0","0.862884348","0.943707531","0.977813594","0","0","701"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Sisben I","0","0.862884348","0.943707531","0.977813594","0","0","702"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","PPNA","0","0.862884348","0.943707531","0.977813594","0","0","703"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Excepción","2236","0.862884348","0.943707531","0.977813594","2236","0","704"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Contributivo","37550","0.862884348","0.943707531","0.977813594","37550","0","705"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Subsidiado","67763","0.875302817","0.960791266","0.990307386","67763","0","707"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Sisben II","0","0.875302817","0.960791266","0.990307386","71","0","708"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Sisben I","0","0.875302817","0.960791266","0.990307386","1048","0","709"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","PPNA","0","0.875302817","0.960791266","0.990307386","11394","0","711"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Excepción","2440","0.875302817","0.960791266","0.990307386","2440","0","712"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Contributivo","39690","0.875302817","0.960791266","0.990307386","39690","0","713"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Poblacion","0","0.862884348","0.943707531","0.977813594","113462.0594","113462","714"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Subsidiado","74869","0.885333746","0.997808991","0.991153092","74869","0","715"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Sisben II","0","0.885333746","0.997808991","0.991153092","74","0","716"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Sisben I","0","0.885333746","0.997808991","0.991153092","0","0","717"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","PPNA","0","0.885333746","0.997808991","0.991153092","28972","0","718"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","NOPPNA","0","0.885333746","0.997808991","0.991153092","1","0","719"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Excepción","2451","0.885333746","0.997808991","0.991153092","2451","0","720"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Contributivo","37715","0.885333746","0.997808991","0.991153092","37715","0","721"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Poblacion","0","0.875302817","0.960791266","0.990307386","114377.601","114378","722"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Poblacion","0","0.885333746","0.997808991","0.991153092","115287.5962","115288","737"
